set,scene,scene_key,prim_count,heuristic,seed,measurement,run,value_ms
B,Stanford Dragon,dragon_10k,10000,Sah,-,build,1,15.194200
B,Stanford Dragon,dragon_10k,10000,Sah,-,build,2,15.008100
B,Stanford Dragon,dragon_10k,10000,Sah,-,build,3,15.585000
B,Stanford Dragon,dragon_10k,10000,Sah,-,build,4,14.674000
B,Stanford Dragon,dragon_10k,10000,Sah,-,build,5,14.620700
B,Stanford Dragon,dragon_10k,10000,Sah,-,render,1,519.198680
B,Stanford Dragon,dragon_10k,10000,Sah,-,render,2,652.470800
B,Stanford Dragon,dragon_10k,10000,Sah,-,render,3,652.365960
B,Stanford Dragon,dragon_10k,10000,Sah,-,render,4,652.184560
B,Stanford Dragon,dragon_10k,10000,Sah,-,render,5,658.168760
B,Stanford Dragon,dragon_10k,10000,Random,1,build,1,2.332800
B,Stanford Dragon,dragon_10k,10000,Random,1,build,2,2.836600
B,Stanford Dragon,dragon_10k,10000,Random,1,build,3,2.340700
B,Stanford Dragon,dragon_10k,10000,Random,1,build,4,2.355000
B,Stanford Dragon,dragon_10k,10000,Random,1,build,5,2.310200
B,Stanford Dragon,dragon_10k,10000,Random,1,render,1,424.931800
B,Stanford Dragon,dragon_10k,10000,Random,1,render,2,655.265920
B,Stanford Dragon,dragon_10k,10000,Random,1,render,3,426.303600
B,Stanford Dragon,dragon_10k,10000,Random,1,render,4,426.576200
B,Stanford Dragon,dragon_10k,10000,Random,1,render,5,422.620080
B,Stanford Dragon,dragon_10k,10000,Random,2,build,1,2.431500
B,Stanford Dragon,dragon_10k,10000,Random,2,build,2,2.504300
B,Stanford Dragon,dragon_10k,10000,Random,2,build,3,2.832100
B,Stanford Dragon,dragon_10k,10000,Random,2,build,4,2.386400
B,Stanford Dragon,dragon_10k,10000,Random,2,build,5,2.347900
B,Stanford Dragon,dragon_10k,10000,Random,2,render,1,1082.605040
B,Stanford Dragon,dragon_10k,10000,Random,2,render,2,1084.384800
B,Stanford Dragon,dragon_10k,10000,Random,2,render,3,426.746040
B,Stanford Dragon,dragon_10k,10000,Random,2,render,4,1078.010880
B,Stanford Dragon,dragon_10k,10000,Random,2,render,5,1087.064880
B,Stanford Dragon,dragon_10k,10000,Random,3,build,1,2.393100
B,Stanford Dragon,dragon_10k,10000,Random,3,build,2,2.393400
B,Stanford Dragon,dragon_10k,10000,Random,3,build,3,2.447300
B,Stanford Dragon,dragon_10k,10000,Random,3,build,4,2.821200
B,Stanford Dragon,dragon_10k,10000,Random,3,build,5,2.355700
B,Stanford Dragon,dragon_10k,10000,Random,3,render,1,1208.448360
B,Stanford Dragon,dragon_10k,10000,Random,3,render,2,1203.017600
B,Stanford Dragon,dragon_10k,10000,Random,3,render,3,1205.935320
B,Stanford Dragon,dragon_10k,10000,Random,3,render,4,1081.122200
B,Stanford Dragon,dragon_10k,10000,Random,3,render,5,1205.428080
B,Stanford Dragon,dragon_10k,10000,Random,4,build,1,2.341000
B,Stanford Dragon,dragon_10k,10000,Random,4,build,2,2.348600
B,Stanford Dragon,dragon_10k,10000,Random,4,build,3,2.411400
B,Stanford Dragon,dragon_10k,10000,Random,4,build,4,2.403600
B,Stanford Dragon,dragon_10k,10000,Random,4,build,5,2.698000
B,Stanford Dragon,dragon_10k,10000,Random,4,render,1,1182.553600
B,Stanford Dragon,dragon_10k,10000,Random,4,render,2,1191.269040
B,Stanford Dragon,dragon_10k,10000,Random,4,render,3,1179.166080
B,Stanford Dragon,dragon_10k,10000,Random,4,render,4,1195.181400
B,Stanford Dragon,dragon_10k,10000,Random,4,render,5,1205.469560
B,Stanford Dragon,dragon_10k,10000,Random,5,build,1,2.381500
B,Stanford Dragon,dragon_10k,10000,Random,5,build,2,2.361700
B,Stanford Dragon,dragon_10k,10000,Random,5,build,3,2.440200
B,Stanford Dragon,dragon_10k,10000,Random,5,build,4,2.411300
B,Stanford Dragon,dragon_10k,10000,Random,5,build,5,2.488900
B,Stanford Dragon,dragon_10k,10000,Random,5,render,1,1411.008120
B,Stanford Dragon,dragon_10k,10000,Random,5,render,2,1405.129080
B,Stanford Dragon,dragon_10k,10000,Random,5,render,3,1411.004240
B,Stanford Dragon,dragon_10k,10000,Random,5,render,4,1407.070400
B,Stanford Dragon,dragon_10k,10000,Random,5,render,5,1405.846720
B,Stanford Dragon,dragon_50k,50000,LongestAxisCentroid,-,build,1,11.985900
B,Stanford Dragon,dragon_50k,50000,LongestAxisCentroid,-,build,2,12.556100
B,Stanford Dragon,dragon_50k,50000,LongestAxisCentroid,-,build,3,11.941000
B,Stanford Dragon,dragon_50k,50000,LongestAxisCentroid,-,build,4,12.649100
B,Stanford Dragon,dragon_50k,50000,LongestAxisCentroid,-,build,5,13.816400
B,Stanford Dragon,dragon_50k,50000,LongestAxisCentroid,-,render,1,1540.464720
B,Stanford Dragon,dragon_50k,50000,LongestAxisCentroid,-,render,2,1529.722920
B,Stanford Dragon,dragon_50k,50000,LongestAxisCentroid,-,render,3,1539.232520
B,Stanford Dragon,dragon_50k,50000,LongestAxisCentroid,-,render,4,1538.554520
B,Stanford Dragon,dragon_50k,50000,LongestAxisCentroid,-,render,5,1538.195920
B,Stanford Dragon,dragon_50k,50000,Median,-,build,1,31.367000
B,Stanford Dragon,dragon_50k,50000,Median,-,build,2,31.527600
B,Stanford Dragon,dragon_50k,50000,Median,-,build,3,31.452100
B,Stanford Dragon,dragon_50k,50000,Median,-,build,4,31.935800
B,Stanford Dragon,dragon_50k,50000,Median,-,build,5,31.903400
B,Stanford Dragon,dragon_50k,50000,Median,-,render,1,618.304680
B,Stanford Dragon,dragon_50k,50000,Median,-,render,2,620.607400
B,Stanford Dragon,dragon_50k,50000,Median,-,render,3,617.066760
B,Stanford Dragon,dragon_50k,50000,Median,-,render,4,620.410360
B,Stanford Dragon,dragon_50k,50000,Median,-,render,5,617.072520
B,Stanford Dragon,dragon_50k,50000,Sah,-,build,1,111.327300
B,Stanford Dragon,dragon_50k,50000,Sah,-,build,2,111.541000
B,Stanford Dragon,dragon_50k,50000,Sah,-,build,3,110.953200
B,Stanford Dragon,dragon_50k,50000,Sah,-,build,4,112.162800
B,Stanford Dragon,dragon_50k,50000,Sah,-,build,5,112.624900
B,Stanford Dragon,dragon_50k,50000,Sah,-,render,1,620.584160
B,Stanford Dragon,dragon_50k,50000,Sah,-,render,2,624.344440
B,Stanford Dragon,dragon_50k,50000,Sah,-,render,3,625.648000
B,Stanford Dragon,dragon_50k,50000,Sah,-,render,4,622.414520
B,Stanford Dragon,dragon_50k,50000,Sah,-,render,5,627.886920
B,Stanford Dragon,dragon_50k,50000,Random,1,build,1,18.274700
B,Stanford Dragon,dragon_50k,50000,Random,1,build,2,15.722100
B,Stanford Dragon,dragon_50k,50000,Random,1,build,3,15.267500
B,Stanford Dragon,dragon_50k,50000,Random,1,build,4,15.692400
B,Stanford Dragon,dragon_50k,50000,Random,1,build,5,15.327800
B,Stanford Dragon,dragon_50k,50000,Random,1,render,1,518.654240
B,Stanford Dragon,dragon_50k,50000,Random,1,render,2,629.839680
B,Stanford Dragon,dragon_50k,50000,Random,1,render,3,524.108880
B,Stanford Dragon,dragon_50k,50000,Random,1,render,4,524.061680
B,Stanford Dragon,dragon_50k,50000,Random,1,render,5,520.242320
B,Stanford Dragon,dragon_50k,50000,Random,2,build,1,17.085000
